year,Automobile dr,Automobile admitted,Automobile enrolled,Automobile difference,CACDDM dr,CACDDM admitted,CACDDM enrolled,CACDDM difference,Chemmical dr,Chemical admitted,Chemical enrolled,Chemical difference,Civil dr,Civil admitted,Civil enrolled,Civil difference,EC dr,EC admitted,EC enrolled,EC difference,Electrical dr,Electrical admitted,Electrical enrolled,Electrical difference,Fabrication dr,Fabrication admitted,Fabrication enrolled,Fabrication difference,IT dr,IT admitted,IT enrolled,IT difference,Mechnical dr,Mechnical admitted,Mechnical enrolled,Mechnical difference,Textile dr,Textile admitted,Textile enrolled,Textile difference,MC dr,MC admitted,MC enrolled,MC difference,total dr,total admitted,total enrolled,total difference
2016,53,19,9,10,0,0,0,0,47,13,7,6,24,13,10,3,0,0,0,0,43,28,16,12,100,5,0,5,0,2,2,0,24,38,29,9,0,0,0,0,0,0,0,0,38,118,73,45
2017,0,8,8,0,0,0,0,0,62,13,5,8,17,18,15,3,0,0,0,0,54,28,13,15,0,1,1,0,0,2,2,0,25,37,28,9,0,0,0,0,0,0,0,0,32,107,72,35
2018,34,6,4,2,0,0,0,0,47,13,7,6,20,10,8,2,0,0,0,0,32,19,13,6,0,0,0,0,0,0,0,0,40,25,15,10,0,0,0,0,0,0,0,0,35,73,47,26
2019,0,3,3,0,0,0,0,0,43,7,4,3,50,10,5,5,0,0,0,0,25,16,12,4,0,0,0,0,50,4,2,2,53,19,9,10,0,0,0,0,0,0,0,0,40,59,35,24
2020,0,0,0,0,0,0,0,0,0,6,6,0,34,6,4,2,0,0,0,0,13,8,7,1,0,0,0,0,0,2,2,0,24,13,10,3,0,0,0,0,0,0,0,0,17,35,29,6
2021,0,0,0,0,0,0,0,0,0,11,11,0,100,1,0,1,0,0,0,0,43,14,8,6,0,0,0,0,0,0,0,0,8,14,13,1,0,0,0,0,0,0,0,0,20,40,32,8
2022,100,1,0,1,0,0,0,0,34,12,8,4,8,14,13,1,0,0,0,0,34,24,16,8,0,0,0,0,25,8,6,2,0,9,9,0,0,0,0,0,0,0,0,0,23,68,52,16
