year,Automobile dr,Automobile admitted,Automobile enrolled,Automobile difference,CACDDM dr,CACDDM admitted,CACDDM enrolled,CACDDM difference,Chemmical dr,Chemical admitted,Chemical enrolled,Chemical difference,Civil dr,Civil admitted,Civil enrolled,Civil difference,EC dr,EC admitted,EC enrolled,EC difference,Electrical dr,Electrical admitted,Electrical enrolled,Electrical difference,Fabrication dr,Fabrication admitted,Fabrication enrolled,Fabrication difference,IT dr,IT admitted,IT enrolled,IT difference,Mechnical dr,Mechnical admitted,Mechnical enrolled,Mechnical difference,Textile dr,Textile admitted,Textile enrolled,Textile difference,MC dr,MC admitted,MC enrolled,MC difference,total dr,total admitted,total enrolled,total difference
2016,17,183,153,30,4,28,27,1,14,60,52,8,16,188,159,29,0,0,0,0,16,188,158,30,15,181,155,26,16,192,163,29,14,188,163,25,15,42,36,6,0,0,0,0,15,1250,1066,184
2017,24,124,95,29,77,31,24,7,13,63,55,8,16,188,159,29,0,0,0,0,17,184,154,30,15,140,119,21,18,191,158,33,11,187,167,20,35,29,19,10,0,0,0,0,17,1137,950,187
2018,11,123,110,13,15,28,24,4,10,62,56,6,6,184,174,10,0,0,0,0,11,185,166,19,17,109,91,18,11,188,167,21,11,185,166,19,47,28,15,13,0,0,0,0,12,1092,969,123
2019,17,131,109,22,18,39,32,7,8,79,73,6,15,227,195,32,0,0,0,0,15,189,161,28,17,31,26,5,10,238,216,22,20,234,188,46,42,12,7,5,0,0,0,0,15,1180,1007,173
2020,9,49,45,4,25,24,18,6,13,79,69,10,7,140,131,9,0,0,0,0,9,130,118,12,5,22,21,1,7,236,223,13,11,161,144,17,20,5,4,1,0,0,0,0,9,846,773,73
2021,11,55,49,6,35,20,13,7,12,77,68,9,15,170,145,25,0,0,0,0,16,177,149,28,6,17,16,1,7,239,224,15,16,190,161,29,0,5,5,0,0,0,0,0,13,950,830,120
2022,22,55,43,12,0,16,16,0,12,77,68,9,13,216,189,27,0,0,0,0,15,190,163,27,20,15,12,3,4,235,227,8,11,213,190,23,0,3,3,0,0,7,7,0,11,1027,918,109
